Year,Squad,Age,SweeperAvgDist,Per90MinutesnpxG,StandardSoT/90,ShortCmp%,MediumCmp%,LongCmp%,PassTypesTB,PassTypesSw,SCA90,Tkl+Int,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd
2018,eng Manchester City,26.7,18.4,1.98,6.4,92.5,91.2,74.1,34,62,32.3,248,1493,4363,2026
2018,eng Manchester Utd,26.2,9.4,0.89,2.9,90.8,86.7,60.5,10,48,20.2,235,1587,3050,1456
2018,fr Monaco,25,12.2,0.72,3.17,86.8,86.4,61.5,8,48,17.5,153,1098,1788,782
2018,it Napoli,28.2,16,1.68,5.17,91.3,87.9,62.3,6,38,26.17,163,1159,2612,1010
2018,fr Paris S-G,27,9.2,2.11,7.12,92.4,90.8,65,23,32,27.12,195,1680,3014,1338
2018,pt Porto,27.9,15.7,1.25,4.65,86.8,82.3,55.4,10,55,22.06,299,1893,2919,1410
2018,nl PSV Eindhoven,24.4,10.2,1.19,4.33,83.3,80.9,49.3,13,10,22,162,1102,1125,580
2018,es Real Madrid,27,16.3,2.11,7.25,93.1,88.7,72.6,22,105,35,234,1504,2999,1837
2018,rs Red Star,26.8,14.1,0.48,2.67,81.4,75.6,43.6,6,7,11.33,195,1227,1158,423
2018,it Roma,27.4,13.8,1.7,6.36,87.6,85.7,57.7,17,28,26.88,203,1630,2356,1100
2018,de Schalke 04,26.2,11.7,1.02,3.25,84,83.5,51.1,8,25,15.5,278,1463,1921,830
2018,ua Shakhtar,27.5,13.7,1.15,4.17,89.5,88.3,62.2,10,22,21.5,159,1221,1773,817
2018,eng Tottenham,27,13.3,1.58,5.69,89.2,86,61.5,35,53,27.69,339,2443,4165,1983
2018,es Valencia,25.9,10.9,1.02,2.83,89,85.2,60.3,4,21,20.17,179,1004,1840,866
2018,cz Viktoria Plzeň,29.6,12,1.15,3.17,85.3,80.8,55,2,14,17.67,145,1102,1263,673
2018,ch Young Boys,26.1,13.7,0.83,2.5,86.8,84.3,50.1,3,12,20.33,206,983,1561,720
2018,gr vs AEK Athens,25.9,16.6,1.72,6.33,89.9,88.5,64.9,9,39,30.17,189,1017,2226,1086
2018,nl vs Ajax,27.1,14.4,1.42,4.33,84.2,83.8,58.1,10,65,21.92,424,2354,3352,1531
2018,es vs Atlético Madrid,25.9,10.7,0.94,2.25,87.1,86.4,65.1,4,48,17.25,205,1615,2543,1204
2018,es vs Barcelona,25.8,15.2,1.2,3.5,89.4,85.4,59.5,18,49,20.42,334,2095,3188,1444
2018,de vs Bayern Munich,25.4,12.2,1.07,3.62,86.7,84.1,53.1,3,37,18.37,278,1512,2285,954
2018,pt vs Benfica,26.3,18.2,1.78,5.83,89.8,88.6,61.5,4,24,22.17,192,1227,2197,800
2018,be vs Club Brugge,25.3,15.5,1.06,3.67,90.3,89.9,65.8,12,39,22.17,155,878,2630,1346
2018,ru vs CSKA Moscow,27.6,17.1,1.79,6.33,88.7,87,67.5,6,42,31.33,149,1002,1998,1096
2018,de vs Dortmund,25.9,11.9,0.85,2.75,88.1,85.8,61.4,15,48,17.87,269,1423,2380,987
2018,tr vs Galatasaray,27.8,10.2,1.47,3.83,88.5,82.7,53.6,10,15,21.33,145,1008,1514,715
2018,de vs Hoffenheim,26.2,15.1,2.05,7.17,90.8,88.9,63.4,14,26,31,152,998,1928,1075
2018,it vs Inter,26.2,9.9,1.3,6.5,91,88.9,62.8,11,21,27.17,151,1129,2012,994
2018,it vs Juventus,26,12.1,0.85,2.9,88.5,84.9,49,10,40,19.4,282,1645,2579,1508
2018,eng vs Liverpool,27.6,13.9,1.07,4.31,88.3,84.1,51.3,23,63,17.92,389,3160,3836,1368
2018,ru vs Loko Moscow,27.6,15.1,1.26,5.17,84.3,86.4,60.4,4,39,22.17,176,1097,1945,904
2018,fr vs Lyon,27.1,16.6,2.06,6.37,91.2,89.1,64.6,19,36,32.63,234,1380,2929,1570
2018,eng vs Manchester City,25.9,11.7,0.78,3,87,85.7,51.8,16,34,16.6,304,1971,2233,871
2018,eng vs Manchester Utd,27.1,10.6,1.37,3.4,92.4,88.8,62.4,16,41,23.1,290,1782,3698,1723
2018,fr vs Monaco,25.4,12.8,1.58,4.5,89.9,89.2,66.9,10,26,22,196,1076,2343,959
2018,it vs Napoli,26.4,13.5,1.08,3.33,88.7,86.2,56.9,14,17,21,167,1368,1770,781
2018,fr vs Paris S-G,26.8,16.2,0.92,3,88.8,86.4,54.6,9,27,18.75,226,1281,2188,996
2018,pt vs Porto,27.7,13.4,1.49,3.19,83.2,80.5,50.4,13,51,21.77,330,1809,2522,1320
2018,nl vs PSV Eindhoven,27.3,13.4,2.31,8.33,92,87.4,70.2,19,23,43.5,140,1086,2438,1393
2018,es vs Real Madrid,26.2,10.1,1.35,4.62,89.1,83.7,53,10,27,22.5,212,1578,1749,994
2018,rs vs Red Star,26.9,14.5,2.95,9,89.9,88.9,68.4,18,36,38.83,135,936,2923,1370
2018,it vs Roma,27.4,14.3,1.59,5.16,90.9,84.7,56.3,10,63,27.24,244,1684,2195,1342
2018,de vs Schalke 04,27.7,14.4,1.19,3.62,88.3,86.5,65.6,16,20,21.5,278,1418,2900,1169
2018,ua vs Shakhtar,25.6,18.9,1.93,5.67,90.8,89.8,66.6,20,43,31.67,150,949,2155,899
