Year,Squad,Poss,SweeperAvgDist,Per90npxG,SoT/90,ShortCmp%,MediumCmp%,LongCmp%,PassTypesTB,PassTypesSw,SCA90,Tkl+Int,TacklesAtt3rd,TouchesMid3rd,TouchesAtt3rd
2019,it Inter,41.5,11.2,1.54,4.67,86.4,84.3,58.5,13,29,21.83,203,8,1521,589
2019,it Juventus,59.4,13.6,1.41,4.5,91.7,89.1,66.5,14,46,24.62,196,16,3084,1555
2019,de Leverkusen,58.8,17.9,1.12,2.67,90.4,88.4,59.9,5,44,23.83,167,6,2307,1087
2019,fr Lille,42.7,15.9,1.46,4.17,84.4,83.9,45.9,9,13,22.83,190,13,1559,786
2019,eng Liverpool,66.6,19.3,1.94,5.52,90,87.4,66.9,18,82,30.6,222,20,3695,2066
2019,ru Loko Moscow,32.3,12.9,1.01,3.5,82.7,81.5,51.2,7,16,14.83,189,12,1296,530
2019,fr Lyon,44.9,12.1,1.11,3.9,88.4,83.7,55.9,10,39,20.7,249,18,2684,1366
2019,eng Manchester City,62.4,20.5,2.53,6.44,92.8,90.9,67.9,32,31,29.78,254,25,3663,2104
2019,it Napoli,47.5,11,1.47,3,89.6,86.5,62.5,6,52,24.62,230,18,2354,1065
2019,gr Olympiacos,45,9.8,1.05,3.33,87.2,84.8,55.2,4,26,23.17,156,7,1498,599
2019,fr Paris S-G,53.2,11,2.31,5.36,92.7,88.8,55.5,47,25,21.73,315,22,3963,1515
2019,de RB Leipzig,57.1,21.3,1.48,4.6,90,86.3,57.6,13,29,28.2,296,18,3669,2047
2019,at RB Salzburg,44.8,14.1,2.02,5.83,86,78,46.7,12,12,27,190,14,1660,859
2019,es Real Madrid,54.8,14.6,1.98,6.62,92.9,87.9,69.2,11,54,31.75,215,18,2662,1760
2019,rs Red Star,36.5,10.8,0.54,2.83,86.4,79.9,44.1,6,9,15.33,193,10,1397,454
2019,ua Shakhtar,49.8,12.5,1.25,3.67,91.5,89.7,59.8,11,34,18.67,155,7,1850,763
2019,cz Slavia Prague,48.7,21,1.44,5.5,85.9,84.2,59.8,8,36,24.5,160,18,1550,1112
2019,eng Tottenham,50,10.9,1.62,5.63,90.6,87.8,51.2,27,17,21.38,190,14,2680,1170
2019,es Valencia,48.5,13.6,1.54,4.37,87.1,87.1,54.3,16,34,22.62,215,7,2158,1001
2019,ru Zenit,39.5,12.2,1.02,3.33,85.9,79.5,54.4,10,34,17.67,201,9,1393,725
2019,nl vs Ajax,45.5,14.1,1.91,4.67,86.6,86,52.4,10,26,25.5,185,8,1550,794
2019,it vs Atalanta,51.7,17.4,1.93,5,88.4,84.9,60.1,13,30,23.22,255,12,2763,1278
2019,es vs Atlético Madrid,54.9,13.6,0.98,3.21,89.4,86.7,59.6,1,62,20.46,248,18,3267,1622
2019,es vs Barcelona,43,18.8,1.81,5.11,89.9,87.6,63.1,18,50,25.11,281,21,2328,1406
2019,de vs Bayern Munich,36.2,9.1,0.86,3,86.9,85.2,48.7,24,32,14.18,279,9,2269,879
2019,pt vs Benfica,51.5,13.6,1.44,4.5,89.5,86.2,62.2,10,25,24.67,163,7,2006,956
2019,eng vs Chelsea,48.6,14.6,1.39,3.87,86.7,89.2,56.7,19,31,20.62,238,16,2266,993
2019,be vs Club Brugge,58.5,15.1,1.73,4.33,91.4,86.9,56.9,9,22,23.5,162,10,2016,1015
2019,hr vs Dinamo Zagreb,64.8,17.3,2.45,5.5,91,87.5,59.7,13,24,30,189,10,2374,1457
2019,de vs Dortmund,48.3,14.6,1.54,4.5,88.8,88.7,67.3,26,38,19.25,256,22,2727,1209
2019,tr vs Galatasaray,53.3,13.4,2.47,7.5,90.6,84,58.2,26,16,29.67,168,16,1868,1181
2019,be vs Genk,59.7,12,2.77,6.5,90.5,85.9,64.2,16,35,33,157,11,2298,1183
2019,it vs Inter,58.5,18.7,1.59,4.83,90.8,89.1,67.4,4,37,26.33,141,11,2078,1406
2019,it vs Juventus,40.6,11.8,1.26,2.75,89.6,84.5,53.9,4,42,21.38,204,12,1917,1207
2019,de vs Leverkusen,41.2,14.7,1.13,4.67,86,84.8,59.8,14,23,14.83,184,17,1765,715
2019,fr vs Lille,57.3,17.8,1.55,5.17,88.1,86.3,64,12,35,24.5,200,18,2062,987
2019,eng vs Liverpool,33.4,12.9,0.97,3.84,85,72.9,46.5,8,22,13.56,249,10,1735,733
2019,ru vs Loko Moscow,67.7,20.8,1.92,6.67,90.9,89.3,60.9,17,23,37.33,167,16,2693,1471
2019,fr vs Lyon,55.1,14.8,1.61,3.5,89.3,86.9,58.1,17,49,24.9,305,18,3383,1643
2019,eng vs Manchester City,37.6,11,0.79,2.89,89.3,85.2,55,12,49,14,251,11,1991,849
2019,it vs Napoli,52.5,13.9,1.08,2.75,91.2,88.8,60.3,6,27,22.12,238,24,2832,1567
2019,gr vs Olympiacos,55,18.4,1.76,5.67,90.8,86.6,57.8,8,21,27.17,156,20,2058,1003
2019,fr vs Paris S-G,46.8,15.7,1.05,2.55,89.3,87.5,60.4,6,56,21.55,300,36,3001,1959
2019,de vs RB Leipzig,42.9,14.3,1.22,4.5,87.6,83,54.4,21,29,19.2,266,17,2868,1150
2019,at vs RB Salzburg,55.2,18.6,1.98,4.83,86,84.7,61.8,11,60,29.5,180,13,1908,912
2019,es vs Real Madrid,45.3,13.3,1.62,4.12,90.8,87.8,58.2,18,22,20.12,225,15,2390,1193
2019,rs vs Red Star,63.5,21.6,3.04,8.5,91,88.2,65.2,16,29,39.5,149,15,2392,1273
2019,ua vs Shakhtar,50.2,19.4,1.93,5.17,90.2,88.4,66.2,15,22,25.5,163,10,1981,1136
2019,cz vs Slavia Prague,51.3,12,2.03,5.83,86.7,85.7,55.3,26,24,24,181,9,1837,750
2019,eng vs Tottenham,50,18.4,1.2,5.63,88.7,87.5,59.9,10,30,25.25,256,16,2482,1079
2019,es vs Valencia,51.5,15.6,1.68,4.62,89.5,83.6,51.6,10,22,29.25,209,22,2238,1513
2019,ru vs Zenit,60.5,18.2,1.31,6,91.4,84.3,61.3,6,33,31.17,144,13,2085,1520
2020,nl Ajax,56,15.9,1.21,4.67,85.9,83.7,52.2,3,15,20.5,182,20,1741,922
2020,it Atalanta,46.5,15.8,1.46,5.12,87,83.5,56.3,10,46,18.87,279,19,2245,1239
2020,es Atlético Madrid,49.1,14.3,1.14,3.87,87,82.9,55.8,7,37,20.87,217,19,2284,1404
2020,es Barcelona,62.1,17.4,1.92,6.87,94.5,91.9,69.8,12,29,33.25,197,25,3304,2403
2020,tr Başakşehir,42.8,15.5,0.87,3.67,87.6,83.8,52.1,2,18,17.67,150,7,1515,800
2020,de Bayern Munich,59.6,20.9,1.94,5.7,89.6,89.1,69,8,64,29.3,283,25,3451,2054
2020,eng Chelsea,51.8,12.9,1.64,4,91.5,87.5,54.4,12,38,20.23,345,25,4241,2085
2020,be Club Brugge,50.2,23,1.15,2.67,88,87.1,60.2,1,52,15.5,157,10,1706,1083
2020,de Dortmund,49.5,9.2,1.28,4.9,90.4,90.2,65.1,12,49,21.3,260,21,3099,1884
2020,ua Dynamo Kyiv,42.5,8.1,0.94,3.5,88.7,86.8,61.1,3,24,11.17,189,8,1542,622
2020,hu Ferencváros,44.2,15.1,0.8,2.33,88.3,88.5,63.3,5,27,15.83,179,12,1633,594
