,ChallengesTkl%,Year,Take-OnsSucc%,GoalieLaunchedComp%,GoaliePassesLaunch%,TotalPassCmp%,Posession,TotalWins,GoalieSave%,GoalsAgainstPer90,TeamSuccess(xG)xG+/-90,StandardSoT/90,StandardSh/90
97,44.1,2018,55.9,48.8,55.4,76,47.1,2,71.4,1.83,-0.38,4.33,12.58
98,39.4,2018,56.7,37.2,35.1,81.4,51.3,2,63.3,1.37,0.12,2.25,9.37
99,39.2,2018,54.2,48.2,28.9,80.6,38.7,1,67.9,2.17,-0.72,3.5,12.08
100,44.8,2018,64.2,36,45,77.7,43.1,1,69.6,2,-0.68,3.62,10.62
101,38.5,2018,49.2,37.2,31,82.2,55.7,3,80,1,0.75,5.83,12.67
102,31.4,2018,53.1,45,36.4,85,59.8,2,68.8,1,0.15,3.67,12.17
103,42.6,2018,65.8,40,39.3,81.8,55.3,3,80.6,1.33,0.79,6.33,17.67
104,42.9,2018,54.7,36.8,34.8,80.3,39.4,3,67.7,1.25,-0.68,2.75,10
105,38.3,2018,46.3,43.7,45.7,76.7,46.5,4,85,0.83,-0.04,3.83,12.67
106,27.9,2018,58.5,43.1,30.5,84.5,55,3,68.8,1.83,0.21,7.17,17
107,49.3,2018,63.5,57.1,32.2,84.3,52.3,2,76.9,1,-0.13,6.5,15
108,39.7,2018,60.2,31.2,62.5,79,44.9,4,74.4,1.4,-0.88,2.9,11.1
109,35.2,2018,51.2,34.2,38.2,78,48.4,4,64.9,1.85,-1.11,4.31,10.46
110,43.8,2018,59.4,43.5,40.5,78.5,54.2,5,71.4,0.67,0.42,5.17,13.67
111,35.7,2018,55.4,44.2,25.2,85.2,56.5,1,69,1.62,0.62,6.37,17.75
112,38.4,2018,68.1,33.7,47.8,77.7,37,2,60.3,3,-1.28,3,9.4
113,42.1,2018,58.3,40.3,35.6,85.1,54.4,5,74.2,1,0.32,3.4,12.8
114,52.6,2018,61.5,37.3,29.8,84.1,55,5,89.5,0.33,0.99,4.5,11.33
115,39.5,2018,64.2,41.6,31.9,81.2,43.7,1,81.3,1.17,-0.73,3.33,11.33
116,38.7,2018,66.7,38.9,43.5,80,41.5,2,64.9,2.5,-0.8,3,10.25
117,46.3,2018,55.9,30.2,42.6,72.9,47,3,69.8,1.94,0.24,3.19,11.52
118,46.5,2018,68.6,53.7,15.1,85.2,68.2,4,76.9,1.01,1.13,8.33,24
119,38.5,2018,53.7,44.2,50.2,77.9,37.9,3,74.1,1.88,-0.76,4.62,13.25
120,41.4,2018,66.7,36.4,14.7,84.8,69.5,4,68.8,0.83,2.76,9,21.17
121,45.2,2018,64.3,28.5,49.4,79.6,50.8,4,75.9,1.68,-0.11,5.16,14.76
122,45.1,2018,59.3,43.5,29.4,82.2,57.8,3,82.8,1,0.17,3.62,11.75
123,50,2018,68.1,44.9,21.6,84.4,50.8,2,68,1.33,1.04,5.67,18
124,41.3,2018,57.5,31.7,37.1,80,47.5,5,73,1.54,-0.34,4.08,12.69
125,39.2,2018,48.4,53.2,50,81.8,49.7,2,66.7,1,0.7,4.33,14.33
126,50.8,2018,55.8,43.2,35.5,85,61.2,3,65,1.17,0.75,6.83,16.17
127,47,2018,56.9,55.1,39.3,83.4,58.7,4,88.2,0.67,0.83,4.83,16
128,42,2019,65.6,25.5,43.2,79.1,54.5,3,86.7,1,-1.05,4,12.67
